metric,family,source_method,method_display,mean,std,n_values,datasets,na_datasets,rank_after_global_sort
BalancedACC,Correction batch,Harmony,Harmony,0.6718590674508937,0.17437093070247806,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,2
BalancedACC,Méthodes généralistes,scvi,scVI,0.6682506578464908,0.17040254647260278,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,3
BalancedACC,Rare Specific,scAIDE,scAIDE,0.6548061157036527,0.1511261130357317,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,4
BalancedACC,Méthodes généralistes,scMAE,scMAE,0.647785415655679,0.10038669773235986,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,5
BalancedACC,Méthodes généralistes,pca_leiden,PCA+Leiden,0.6409437003576616,0.12206880019493972,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,6
BalancedACC,Rare Specific,CellSIUS,CellSIUS,0.6281171290557612,0.10699424310857145,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,7
BalancedACC,Correction batch,ComBat,ComBat,0.6064901197370972,0.26277288700356766,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,8
BalancedACC,Correction batch,DESC,DESC,0.5909463897888452,0.16182788301510853,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,9
BalancedACC,Rare Specific,DeepScena,DeepScena,0.45484081533775006,0.20284099991966992,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,10
RareACC,Méthodes généralistes,scvi,scVI,0.6371723222137278,0.344060022956954,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,1
RareACC,scRAW,scRAW,scRAW,0.6358607432585514,0.30521877283082244,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,2
RareACC,Méthodes généralistes,scNAME,scNAME,0.6080600206909406,0.34086430330209344,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,3
RareACC,Méthodes généralistes,pca_leiden,PCA+Leiden,0.6036654000316154,0.34817663329161974,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,4
RareACC,Rare Specific,CellSIUS,CellSIUS,0.5960987599245814,0.25315719607782544,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,5
RareACC,Correction batch,Harmony,Harmony,0.590197089311001,0.35170044197305583,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,6
RareACC,Rare Specific,scAIDE,scAIDE,0.5765537122317717,0.29947452060431934,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,7
RareACC,Correction batch,DESC,DESC,0.5520560359921862,0.37550078110606233,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,8
RareACC,Correction batch,ComBat,ComBat,0.519383088983615,0.37827608960538434,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,9
RareACC,Rare Specific,DeepScena,DeepScena,0.38021767492594216,0.3383004634783654,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,10
BalancedRareACC,scRAW,scRAW,scRAW,0.6370355640785053,0.2646503821968645,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,1
BalancedRareACC,Rare Specific,CellSIUS,CellSIUS,0.6082672213332283,0.18442882492052012,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,2
BalancedRareACC,Correction batch,Harmony,Harmony,0.5579871896734216,0.3066609642738826,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,3
BalancedRareACC,Méthodes généralistes,pca_leiden,PCA+Leiden,0.540994838984077,0.2764142009391723,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,4
BalancedRareACC,Méthodes généralistes,scvi,scVI,0.5229521372227837,0.27880088586241963,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,5
BalancedRareACC,Rare Specific,scAIDE,scAIDE,0.504029347648475,0.23924273117577996,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,6
BalancedRareACC,Correction batch,ComBat,ComBat,0.5010146995665726,0.3446598613563775,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,7
BalancedRareACC,Méthodes généralistes,scMAE,scMAE,0.4932622197848374,0.20394703051548754,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,8
BalancedRareACC,Correction batch,Scanorama,Scanorama,0.4835160343948694,0.2720239078098103,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,9
BalancedRareACC,Rare Specific,scCAD,scCAD,0.4632098436899506,0.14243761401649538,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,10
UltraRareACC,Rare Specific,scCAD,scCAD,0.6710571263361625,0.23860767989367737,7,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow,Tabula Muris liver,1
