mode_key,mode,algorithm_key,Methode,cell_type,error_rate,support_mean,support_min,support_max
transductive,Transductif,pca_leiden,PCA+Leiden,alpha,0.0045571797076525925,2326.0,2326.0,2326.0
transductive,Transductif,pca_leiden,PCA+Leiden,beta,0.021306930693069326,2525.0,2525.0,2525.0
transductive,Transductif,sc_mae,scMAE,t_cell,1.0,7.0,7.0,7.0
transductive,Transductif,sc_mae,scMAE,schwann,0.6307692307692307,13.0,13.0,13.0
transductive,Transductif,sc_mae,scMAE,epsilon,1.0,18.0,18.0,18.0
transductive,Transductif,sc_mae,scMAE,mast,0.0,25.0,25.0,25.0
transductive,Transductif,sc_mae,scMAE,macrophage,0.021818181818181827,55.0,55.0,55.0
transductive,Transductif,sc_mae,scMAE,quiescent_stellate,0.09364161849710981,173.0,173.0,173.0
transductive,Transductif,sc_mae,scMAE,endothelial,0.06349206349206349,252.0,252.0,252.0
transductive,Transductif,sc_mae,scMAE,gamma,0.9568627450980391,255.0,255.0,255.0
transductive,Transductif,sc_mae,scMAE,activated_stellate,0.3316901408450704,284.0,284.0,284.0
transductive,Transductif,sc_mae,scMAE,delta,0.07387687188019972,601.0,601.0,601.0
transductive,Transductif,sc_mae,scMAE,acinar,0.029853862212943616,958.0,958.0,958.0
transductive,Transductif,sc_mae,scMAE,ductal,0.5710306406685237,1077.0,1077.0,1077.0
transductive,Transductif,sc_mae,scMAE,alpha,0.3117798796216681,2326.0,2326.0,2326.0
transductive,Transductif,sc_mae,scMAE,beta,0.022574257425742594,2525.0,2525.0,2525.0
transductive,Transductif,scdeepcluster,scDeepCluster,t_cell,1.0,7.0,7.0,7.0
transductive,Transductif,scdeepcluster,scDeepCluster,schwann,0.9538461538461538,13.0,13.0,13.0
transductive,Transductif,scdeepcluster,scDeepCluster,epsilon,1.0,18.0,18.0,18.0
transductive,Transductif,scdeepcluster,scDeepCluster,mast,0.8,25.0,25.0,25.0
transductive,Transductif,scdeepcluster,scDeepCluster,macrophage,0.0036363636363636377,55.0,55.0,55.0
