mode_key,mode,algorithm_key,Methode,seed,NMI,ARI,ACC,BalancedACC,F1Macro,RareACC,UltraRareACC,BatchCorrection,n_eval,n_rare_cells,n_ultrarare_cells,min_class_support
inductive,Inductif,pca_kmeans,PCA+KMeans,0,0.741073734522192,0.5378184474852608,0.6091015169194866,0.5881206786711655,0.5514793035716252,0.6759259259259259,0.5,0.5786284616222407,1714.0,216.0,22.0,2.0
inductive,Inductif,pca_kmeans,PCA+KMeans,1,0.7407886261522512,0.5412076675323091,0.6114352392065344,0.5870288526310113,0.5510795073680832,0.6712962962962963,0.5,0.5771933396281821,1714.0,216.0,22.0,2.0
inductive,Inductif,pca_kmeans,PCA+KMeans,2,0.7444203098521014,0.5426771662881711,0.6149358226371062,0.5696329727570633,0.5430087711459215,0.5879629629629629,0.5,0.576264932021048,1714.0,216.0,22.0,2.0
inductive,Inductif,pca_leiden,PCA+Leiden,0,0.8154299022283023,0.763105057647541,0.8156359393232205,0.4463287074428991,0.38398099856095563,0.3148148148148148,0.5,0.5795572541919001,1714.0,216.0,22.0,2.0
inductive,Inductif,pca_leiden,PCA+Leiden,1,0.8113413427502381,0.7356325522447229,0.8144690781796966,0.5715407928851636,0.5091270271210792,0.5462962962962963,0.5,0.5767031435497507,1714.0,216.0,22.0,2.0
inductive,Inductif,pca_leiden,PCA+Leiden,2,0.8141134756163799,0.7621017690697076,0.8150525087514586,0.4461632814710214,0.3818128364348221,0.3148148148148148,0.5,0.5793269989530839,1714.0,216.0,22.0,2.0
inductive,Inductif,sc_mae,scMAE,0,0.8564817818516709,0.795423425623846,0.7438739789964994,0.6713729865348512,0.6809774203115754,0.7129629629629629,0.7272727272727273,0.5323969360219689,1714.0,216.0,22.0,2.0
inductive,Inductif,sc_mae,scMAE,1,0.8518032423809015,0.7957282828327443,0.7456242707117853,0.677833319832527,0.6652580126026812,0.6064814814814815,0.7272727272727273,0.5205033229472842,1714.0,216.0,22.0,2.0
inductive,Inductif,sc_mae,scMAE,2,0.8520268505069709,0.7937464812358777,0.7374562427071178,0.7202448132894925,0.6730983895654283,0.6203703703703703,0.8181818181818182,0.5267737337827508,1714.0,216.0,22.0,2.0
inductive,Inductif,scdeepcluster,scDeepCluster,0,0.8477363746883726,0.7931978106052666,0.7718786464410735,0.6468810257630093,0.6493266975155323,0.8379629629629629,0.5,0.5946681986109822,1714.0,216.0,22.0,2.0
inductive,Inductif,scdeepcluster,scDeepCluster,1,0.8511439296733088,0.7906877524730458,0.7864644107351225,0.6463255573705814,0.6640141272045154,0.8240740740740741,0.45454545454545453,0.6000234428930578,1714.0,216.0,22.0,2.0
inductive,Inductif,scdeepcluster,scDeepCluster,2,0.8624877916629282,0.8007144018920419,0.7876312718786465,0.672680228920282,0.6812106168631171,0.9027777777777778,0.5,0.6101474580865357,1714.0,216.0,22.0,2.0
inductive,Inductif,scname,scNAME,0,0.8258686245076927,0.7058029870431458,0.7182030338389732,0.6139275057506866,0.6312625462919659,0.7824074074074074,0.45454545454545453,0.5717757097345769,1714.0,216.0,22.0,2.0
inductive,Inductif,scname,scNAME,1,0.8350530337234907,0.6722381061908451,0.7018669778296382,0.636848023997237,0.6618103722563252,0.8935185185185185,0.45454545454545453,0.6062918487688991,1714.0,216.0,22.0,2.0
inductive,Inductif,scname,scNAME,2,0.819527830842483,0.7415138926689003,0.7409568261376897,0.5762686465304736,0.5696393271809982,0.6759259259259259,0.45454545454545453,0.634364524994566,1714.0,216.0,22.0,2.0
transductive,Transductif,pca_kmeans,PCA+KMeans,0,0.8038339640966246,0.7855939492012965,0.8027774536118567,0.5936276442892244,0.581538391526226,0.511090573012939,0.6271186440677966,0.5072409371466212,8569.0,1082.0,118.0,7.0
transductive,Transductif,pca_kmeans,PCA+KMeans,1,0.8046227192371808,0.7965151344057002,0.8039444509277629,0.584916893143978,0.5751871676444001,0.47966728280961185,0.6271186440677966,0.5038013453516015,8569.0,1082.0,118.0,7.0
transductive,Transductif,pca_kmeans,PCA+KMeans,2,0.7981788438752424,0.7784369887589127,0.7972925662270977,0.6189527500674548,0.5886394748346302,0.5831792975970426,0.6440677966101694,0.5058060372812971,8569.0,1082.0,118.0,7.0
transductive,Transductif,pca_leiden,PCA+Leiden,0,0.8788984263006371,0.9147823869042334,0.9053565176800094,0.5495830225854843,0.4993402375670443,0.5397412199630314,0.4661016949152542,0.5045516540068994,8569.0,1082.0,118.0,7.0
transductive,Transductif,pca_leiden,PCA+Leiden,1,0.8786999225694752,0.914846820024414,0.9061734158011436,0.549797983892449,0.4999803842554299,0.5397412199630314,0.4661016949152542,0.5044226243857053,8569.0,1082.0,118.0,7.0
transductive,Transductif,pca_leiden,PCA+Leiden,2,0.8087957081623239,0.768016586727245,0.8145641265025091,0.41418101815924846,0.35382062300299805,0.3123844731977819,0.4661016949152542,0.5046264237898841,8569.0,1082.0,118.0,7.0
transductive,Transductif,sc_mae,scMAE,0,0.8142054275014587,0.7698534035042929,0.7307737192204458,0.6077221631109195,0.6185117254615353,0.6155268022181146,0.6949152542372882,0.4983272764809583,8569.0,1082.0,118.0,7.0
transductive,Transductif,sc_mae,scMAE,1,0.8170213510518636,0.7709351912624317,0.7367254055315673,0.6047859574532738,0.6211547765161468,0.6201478743068392,0.6779661016949152,0.4982885967997223,8569.0,1082.0,118.0,7.0
transductive,Transductif,sc_mae,scMAE,2,0.8145310124485492,0.7695148475737155,0.7258723304936399,0.596315654986776,0.6129632386140693,0.5998151571164511,0.6864406779661016,0.493134219941341,8569.0,1082.0,118.0,7.0
