mode_key,mode,algorithm_key,Methode,cell_type,error_rate,support_mean,support_min,support_max
inductive,Inductif,scname,scNAME,schwann,1.0,1.0,1.0,1.0
inductive,Inductif,scname,scNAME,t_cell,1.0,1.0,1.0,1.0
inductive,Inductif,sccdcg,scCDCG,alpha,0.44266666666666665,300.0,300.0,300.0
inductive,Inductif,sccdcg,scCDCG,beta,0.33454545454545453,275.0,275.0,275.0
inductive,Inductif,sccdcg,scCDCG,ductal,0.7050632911392405,158.0,158.0,158.0
inductive,Inductif,sccdcg,scCDCG,acinar,0.6346938775510205,98.0,98.0,98.0
inductive,Inductif,sccdcg,scCDCG,delta,0.02941176470588236,68.0,68.0,68.0
inductive,Inductif,sccdcg,scCDCG,gamma,0.12608695652173915,46.0,46.0,46.0
inductive,Inductif,sccdcg,scCDCG,activated_stellate,0.09411764705882356,34.0,34.0,34.0
inductive,Inductif,sccdcg,scCDCG,endothelial,0.48571428571428577,21.0,21.0,21.0
inductive,Inductif,sccdcg,scCDCG,quiescent_stellate,0.9800000000000001,10.0,10.0,10.0
inductive,Inductif,sccdcg,scCDCG,macrophage,0.72,5.0,5.0,5.0
inductive,Inductif,sccdcg,scCDCG,epsilon,0.6666666666666667,3.0,3.0,3.0
inductive,Inductif,sccdcg,scCDCG,mast,1.0,2.0,2.0,2.0
inductive,Inductif,sccdcg,scCDCG,schwann,1.0,1.0,1.0,1.0
inductive,Inductif,sccdcg,scCDCG,t_cell,1.0,1.0,1.0,1.0
transductive,Transductif,pca_kmeans,PCA+KMeans,alpha,0.28076256499133445,4616.0,4616.0,4616.0
transductive,Transductif,pca_kmeans,PCA+KMeans,beta,0.28405405405405404,3700.0,3700.0,3700.0
transductive,Transductif,pca_kmeans,PCA+KMeans,ductal,0.5359776014932338,2143.0,2143.0,2143.0
transductive,Transductif,pca_kmeans,PCA+KMeans,acinar,0.3977259126271694,1671.0,1671.0,1671.0
transductive,Transductif,pca_kmeans,PCA+KMeans,delta,0.6893743793445879,1007.0,1007.0,1007.0
transductive,Transductif,pca_kmeans,PCA+KMeans,gamma,0.7175324675324675,616.0,616.0,616.0
transductive,Transductif,pca_kmeans,PCA+KMeans,activated_stellate,0.27198275862068966,464.0,464.0,464.0
transductive,Transductif,pca_kmeans,PCA+KMeans,endothelial,0.09904153354632583,313.0,313.0,313.0
