dataset,dataset_key,method,method_display,output_png,status,source,n_cells,embedding,Correct,Error normal,Error rare,Error ultrarare
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,Harmony,Harmony,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__harmony.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/harmony/results/labels/per_cell_harmony_res_0.2.csv,2859.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/harmony/results/embeddings/embedding_harmony.npy,2028.0,638.0,193.0,0.0
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,ComBat,ComBat,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__combat.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/combat/results/labels/per_cell_combat_res_0.2.csv,2859.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/combat/results/embeddings/embedding_combat.npy,2056.0,610.0,193.0,0.0
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,Scanorama,Scanorama,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scanorama.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/scanorama/results/labels/per_cell_scanorama_res_0.2.csv,2859.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/scanorama/results/embeddings/embedding_scanorama.npy,2056.0,610.0,193.0,0.0
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,DESC,DESC,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__desc.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/desc/results/labels/per_cell_desc_res_0.2.csv,2859.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/desc/results/embeddings/embedding_desc_res_0.2.npy,2166.0,470.0,223.0,0.0
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,pca_leiden,PCA + Leiden,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__pca_leiden.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/pca_leiden/results/labels/per_cell_pca_leiden_res_0.2.csv,2859.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/pca_leiden/results/embeddings/embedding_pca_leiden.npy,2056.0,610.0,193.0,0.0
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,scvi,scVI,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scvi.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/Tabula_Muris_liver_filtered_raw_counts/results/labels/per_cell_scvi_res_0.2.csv,2859.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/Tabula_Muris_liver_filtered_raw_counts/results/embeddings/embedding_scvi.npy,1966.0,699.0,194.0,0.0
BBAG094 Zeisel,bbag094_zeisel,scRAW (trial_0017),scRAW,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_zeisel/bbag094_zeisel__scraw_trial0017.png,copied_stage_final_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scRAW_stable_generalist_trial_0017_default_v_3_hdbscan_scibe_seed42/stage_umaps/bbag094_zeisel/umaps_batch/4_EndTraining.png,,,,,,
BBAG094 Zeisel,bbag094_zeisel,scRAW (best per dataset),scRAW finetune,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_zeisel/bbag094_zeisel__scraw_finetune.png,regenerated_from_per_cell,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_scibe_rerun_20260402_164112/scraw/best_per_dataset/trial_0011/bbag094_zeisel/seed_60/results/per_cell/per_cell_scraw_run0.csv,3006.0,,2527.0,440.0,27.0,12.0
BBAG094 Zeisel,bbag094_zeisel,scNAME,scNAME,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_zeisel/bbag094_zeisel__scname.png,copied_existing_scrbenchmark_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/scrbenchmark/bbag094_zeisel/figures/umap_comparison_scname.png,,,,,,
BBAG094 Zeisel,bbag094_zeisel,scMAE,scMAE,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_zeisel/bbag094_zeisel__scmae.png,copied_existing_scrbenchmark_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/scrbenchmark/bbag094_zeisel/figures/umap_comparison_sc_mae.png,,,,,,
BBAG094 Zeisel,bbag094_zeisel,Harmony,Harmony,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_zeisel/bbag094_zeisel__harmony.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/harmony/results/labels/per_cell_harmony_res_0.2.csv,3006.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/harmony/results/embeddings/embedding_harmony.npy,1822.0,1073.0,99.0,12.0
BBAG094 Zeisel,bbag094_zeisel,ComBat,ComBat,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_zeisel/bbag094_zeisel__combat.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/combat/results/labels/per_cell_combat_res_0.2.csv,3006.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/combat/results/embeddings/embedding_combat.npy,948.0,1873.0,158.0,27.0
BBAG094 Zeisel,bbag094_zeisel,Scanorama,Scanorama,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_zeisel/bbag094_zeisel__scanorama.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/scanorama/results/labels/per_cell_scanorama_res_0.2.csv,3006.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/scanorama/results/embeddings/embedding_scanorama.npy,2376.0,535.0,83.0,12.0
BBAG094 Zeisel,bbag094_zeisel,DESC,DESC,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_zeisel/bbag094_zeisel__desc.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/desc/results/labels/per_cell_desc_res_0.6.csv,3006.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/desc/results/embeddings/embedding_desc_res_0.6.npy,2508.0,405.0,81.0,12.0
BBAG094 Zeisel,bbag094_zeisel,pca_leiden,PCA + Leiden,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_zeisel/bbag094_zeisel__pca_leiden.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/pca_leiden/results/labels/per_cell_pca_leiden_res_0.2.csv,3006.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/pca_leiden/results/embeddings/embedding_pca_leiden.npy,2376.0,535.0,83.0,12.0
BBAG094 Zeisel,bbag094_zeisel,scvi,scVI,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_zeisel/bbag094_zeisel__scvi.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/bbag094_zeisel/results/labels/per_cell_scvi_res_0.4.csv,3006.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/bbag094_zeisel/results/embeddings/embedding_scvi.npy,2153.0,784.0,57.0,12.0
BBAG094 spleen,bbag094_spleen,scRAW (trial_0017),scRAW,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_spleen/bbag094_spleen__scraw_trial0017.png,copied_stage_final_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scRAW_stable_generalist_trial_0017_default_v_3_hdbscan_scibe_seed42/stage_umaps/bbag094_spleen/umaps_batch/4_EndTraining.png,,,,,,
BBAG094 spleen,bbag094_spleen,scRAW (best per dataset),scRAW finetune,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_spleen/bbag094_spleen__scraw_finetune.png,missing_or_failed: /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_scibe_rerun_20260402_164112/scraw/best_per_dataset/trial_0046/bbag094_spleen/seed_60/results/per_cell/per_cell_scraw_run0.csv,,,,,,,
BBAG094 spleen,bbag094_spleen,scNAME,scNAME,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_spleen/bbag094_spleen__scname.png,copied_existing_scrbenchmark_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/scrbenchmark/bbag094_spleen/figures/umap_comparison_scname.png,,,,,,
BBAG094 spleen,bbag094_spleen,scMAE,scMAE,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_spleen/bbag094_spleen__scmae.png,copied_existing_scrbenchmark_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/scrbenchmark/bbag094_spleen/figures/umap_comparison_sc_mae.png,,,,,,
BBAG094 spleen,bbag094_spleen,Harmony,Harmony,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_spleen/bbag094_spleen__harmony.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_spleen/harmony/results/labels/per_cell_harmony_res_0.2.csv,9552.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_spleen/harmony/results/embeddings/embedding_harmony.npy,6563.0,2982.0,7.0,0.0
BBAG094 spleen,bbag094_spleen,ComBat,ComBat,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_spleen/bbag094_spleen__combat.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_spleen/combat/results/labels/per_cell_combat_res_0.2.csv,9552.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_spleen/combat/results/embeddings/embedding_combat.npy,7001.0,2535.0,16.0,0.0
BBAG094 spleen,bbag094_spleen,Scanorama,Scanorama,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_spleen/bbag094_spleen__scanorama.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_spleen/scanorama/results/labels/per_cell_scanorama_res_0.2.csv,9552.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_spleen/scanorama/results/embeddings/embedding_scanorama.npy,6126.0,3278.0,148.0,0.0
BBAG094 spleen,bbag094_spleen,DESC,DESC,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_spleen/bbag094_spleen__desc.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_spleen/desc/results/labels/per_cell_desc_res_0.2.csv,9552.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_spleen/desc/results/embeddings/embedding_desc_res_0.2.npy,4948.0,4555.0,49.0,0.0
BBAG094 spleen,bbag094_spleen,pca_leiden,PCA + Leiden,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_spleen/bbag094_spleen__pca_leiden.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_spleen/pca_leiden/results/labels/per_cell_pca_leiden_res_0.2.csv,9552.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_spleen/pca_leiden/results/embeddings/embedding_pca_leiden.npy,5792.0,3754.0,6.0,0.0
BBAG094 spleen,bbag094_spleen,scvi,scVI,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/bbag094_spleen/bbag094_spleen__scvi.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/bbag094_spleen/results/labels/per_cell_scvi_res_0.2.csv,9552.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/bbag094_spleen/results/embeddings/embedding_scvi.npy,7602.0,1901.0,49.0,0.0
Baron human pancreas,baron_human_pancreas,scRAW (trial_0017),scRAW,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/baron_human_pancreas/baron_human_pancreas__scraw_trial0017.png,copied_stage_final_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scRAW_stable_generalist_trial_0017_default_v_3_hdbscan_scibe_seed42/stage_umaps/baron_human_pancreas/umaps_batch/4_EndTraining.png,,,,,,
Baron human pancreas,baron_human_pancreas,scRAW (best per dataset),scRAW finetune,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/baron_human_pancreas/baron_human_pancreas__scraw_finetune.png,missing_or_failed: /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_scibe_rerun_20260402_164112/scraw/best_per_dataset/trial_0001/baron_human_pancreas/seed_60/results/per_cell/per_cell_scraw_run0.csv,,,,,,,
Baron human pancreas,baron_human_pancreas,scNAME,scNAME,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/baron_human_pancreas/baron_human_pancreas__scname.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/baron_crossalgo_seed42_metrics/scrbenchmark/results/labels/labels_scname_run0.csv,8569.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/baron_crossalgo_seed42_metrics/scrbenchmark/results/embeddings/embeddings_scname_run0.npy,6330.0,2123.0,53.0,63.0
Baron human pancreas,baron_human_pancreas,scMAE,scMAE,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/baron_human_pancreas/baron_human_pancreas__scmae.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/baron_crossalgo_seed42_metrics/scrbenchmark/results/labels/labels_sc_mae_run0.csv,8569.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/baron_crossalgo_seed42_metrics/scrbenchmark/results/embeddings/embeddings_sc_mae_run0.npy,6262.0,1891.0,380.0,36.0
Baron human pancreas,baron_human_pancreas,Harmony,Harmony,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/baron_human_pancreas/baron_human_pancreas__harmony.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/baron_human_pancreas/harmony/results/labels/per_cell_harmony_res_0.6.csv,8569.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/baron_human_pancreas/harmony/results/embeddings/embedding_harmony.npy,7638.0,727.0,179.0,25.0
Baron human pancreas,baron_human_pancreas,ComBat,ComBat,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/baron_human_pancreas/baron_human_pancreas__combat.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/baron_human_pancreas/combat/results/labels/per_cell_combat_res_0.4.csv,8569.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/baron_human_pancreas/combat/results/embeddings/embedding_combat.npy,6191.0,2175.0,178.0,25.0
Baron human pancreas,baron_human_pancreas,Scanorama,Scanorama,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/baron_human_pancreas/baron_human_pancreas__scanorama.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/baron_human_pancreas/scanorama/results/labels/per_cell_scanorama_res_0.2.csv,8569.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/baron_human_pancreas/scanorama/results/embeddings/embedding_scanorama.npy,5883.0,2403.0,257.0,26.0
Baron human pancreas,baron_human_pancreas,DESC,DESC,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/baron_human_pancreas/baron_human_pancreas__desc.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/baron_human_pancreas/desc/results/labels/per_cell_desc_res_0.2.csv,8569.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/baron_human_pancreas/desc/results/embeddings/embedding_desc_res_0.2.npy,7961.0,366.0,179.0,63.0
Baron human pancreas,baron_human_pancreas,pca_leiden,PCA + Leiden,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/baron_human_pancreas/baron_human_pancreas__pca_leiden.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/baron_human_pancreas/pca_leiden/results/labels/per_cell_pca_leiden_res_0.2.csv,8569.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/baron_human_pancreas/pca_leiden/results/embeddings/embedding_pca_leiden.npy,7149.0,1217.0,179.0,24.0
Baron human pancreas,baron_human_pancreas,scvi,scVI,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/baron_human_pancreas/baron_human_pancreas__scvi.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/baron_human_pancreas/results/labels/per_cell_scvi_res_0.8.csv,8569.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/baron_human_pancreas/results/embeddings/embedding_scvi.npy,6098.0,2382.0,26.0,63.0
