dataset,dataset_key,method,method_display,output_png,status,source,n_cells,embedding,Correct,Error normal,Error rare,Error ultrarare
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,Harmony,Harmony,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__harmony.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/tran2020_batch_compare_20260323_164939/kang_pbmc_gse96583_singlets_raw_counts/harmony/results/labels/per_cell_harmony_res_0.2.csv,24576.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/tran2020_batch_compare_20260323_164939/kang_pbmc_gse96583_singlets_raw_counts/harmony/results/embeddings/embedding_harmony.npy,18502.0,5639.0,435.0,0.0
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,ComBat,ComBat,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__combat.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/tran2020_batch_compare_20260323_164939/kang_pbmc_gse96583_singlets_raw_counts/combat/results/labels/per_cell_combat_res_0.2.csv,24576.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/tran2020_batch_compare_20260323_164939/kang_pbmc_gse96583_singlets_raw_counts/combat/results/embeddings/embedding_combat.npy,18505.0,5636.0,435.0,0.0
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,Scanorama,Scanorama,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__scanorama.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/tran2020_batch_compare_20260323_164939/kang_pbmc_gse96583_singlets_raw_counts/scanorama/results/labels/per_cell_scanorama_res_0.2.csv,24576.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/tran2020_batch_compare_20260323_164939/kang_pbmc_gse96583_singlets_raw_counts/scanorama/results/embeddings/embedding_scanorama.npy,18291.0,5753.0,532.0,0.0
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,DESC,DESC,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__desc.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/tran2020_batch_compare_20260323_164939/kang_pbmc_gse96583_singlets_raw_counts/desc/results/labels/per_cell_desc_res_0.2.csv,24576.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/tran2020_batch_compare_20260323_164939/kang_pbmc_gse96583_singlets_raw_counts/desc/results/embeddings/embedding_desc_res_0.2.npy,15810.0,8306.0,460.0,0.0
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,pca_leiden,PCA + Leiden,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__pca_leiden.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/kang_pbmc_gse96583_singlets_raw_counts/pca_leiden/results/labels/per_cell_pca_leiden_res_0.2.csv,24562.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/kang_pbmc_gse96583_singlets_raw_counts/pca_leiden/results/embeddings/embedding_pca_leiden.npy,18511.0,5623.0,428.0,0.0
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,scvi,scVI,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__scvi.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/kang_pbmc_gse96583_singlets_raw_counts/results/labels/per_cell_scvi_res_0.2.csv,24576.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/kang_pbmc_gse96583_singlets_raw_counts/results/embeddings/embedding_scvi.npy,20012.0,4019.0,545.0,0.0
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,scRAW (trial_0017),scRAW,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/macaque_retina_gse118480_bipolar_raw_counts/macaque_retina_gse118480_bipolar_raw_counts__scraw_trial0017.png,copied_stage_final_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scRAW_stable_generalist_trial_0017_default_v_3_hdbscan_scibe_seed42/stage_umaps/macaque_retina_gse118480_bipolar_raw_counts/umaps_batch/4_EndTraining.png,,,,,,
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,scRAW (best per dataset),scRAW finetune,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/macaque_retina_gse118480_bipolar_raw_counts/macaque_retina_gse118480_bipolar_raw_counts__scraw_finetune.png,missing_or_failed: /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_scibe_rerun_20260402_164112/scraw/best_per_dataset/trial_0062/macaque_retina_gse118480_bipolar_raw_counts/seed_60/results/per_cell/per_cell_scraw_run0.csv,,,,,,,
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,scNAME,scNAME,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/macaque_retina_gse118480_bipolar_raw_counts/macaque_retina_gse118480_bipolar_raw_counts__scname.png,copied_existing_scrbenchmark_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/scrbenchmark/macaque_retina_gse118480_bipolar_raw_counts/figures/umap_comparison_scname.png,,,,,,
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,scMAE,scMAE,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/macaque_retina_gse118480_bipolar_raw_counts/macaque_retina_gse118480_bipolar_raw_counts__scmae.png,copied_existing_scrbenchmark_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/scrbenchmark/macaque_retina_gse118480_bipolar_raw_counts/figures/umap_comparison_sc_mae.png,,,,,,
