dataset_key,dataset_label,algorithm,algorithm_label,metric,n_splits,mean,std,min,max,metric_label,dataset_short
bbag094_spleen,BBAG094 spleen,scraw,scRAW,ACC,1,0.9177086362314626,0.0,0.9177086362314626,0.9177086362314626,ACC,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,scraw,scRAW,ARI,1,0.894023652669759,0.0,0.894023652669759,0.894023652669759,ARI,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,scraw,scRAW,BalancedACC,1,0.8249926310312349,0.0,0.8249926310312349,0.8249926310312349,Balanced ACC,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,scraw,scRAW,BalancedRareACC,1,0.963095238095238,0.0,0.963095238095238,0.963095238095238,Balanced Rare ACC,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,scraw,scRAW,RareACC,1,0.971153846153846,0.0,0.971153846153846,0.971153846153846,Rare ACC,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,scraw,scRAW,UltraRareACC,1,0.95,0.0,0.95,0.95,Ultra Rare ACC,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,scname,scNAME,ACC,1,0.858679848793,0.0,0.858679848793,0.858679848793,ACC,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,scname,scNAME,ARI,1,0.669368710262,0.0,0.669368710262,0.669368710262,ARI,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,scname,scNAME,BalancedACC,1,0.849461877939,0.0,0.849461877939,0.849461877939,Balanced ACC,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,scname,scNAME,BalancedRareACC,1,0.7761904761904761,0.0,0.7761904761904761,0.7761904761904761,Balanced Rare ACC,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,scname,scNAME,RareACC,1,0.884615384615,0.0,0.884615384615,0.884615384615,Rare ACC,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,scname,scNAME,UltraRareACC,1,0.6,0.0,0.6,0.6,Ultra Rare ACC,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,sc_mae,scMAE,ACC,1,0.772317534167,0.0,0.772317534167,0.772317534167,ACC,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,sc_mae,scMAE,ARI,1,0.5645200476,0.0,0.5645200476,0.5645200476,ARI,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,sc_mae,scMAE,BalancedACC,1,0.71370401094,0.0,0.71370401094,0.71370401094,Balanced ACC,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,sc_mae,scMAE,BalancedRareACC,1,0.5,0.0,0.5,0.5,Balanced Rare ACC,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,sc_mae,scMAE,RareACC,1,0.807692307692,0.0,0.807692307692,0.807692307692,Rare ACC,BBAG094 spleen
bbag094_spleen,BBAG094 spleen,sc_mae,scMAE,UltraRareACC,1,0.0,0.0,0.0,0.0,Ultra Rare ACC,BBAG094 spleen
