dataset_key,dataset_label,algorithm,algorithm_label,split_key,train_groups,test_group,ACC,BalancedACC,ARI,NMI,RareACC,UltraRareACC,source,output_dir,BalancedACC_source_file,BalancedACC_source_key,BalancedRareACC
baron_human_pancreas,Baron pancreas,scvi,scVI,batch,"human1,human2,human3",human4,0.646968534151957,0.5234749262343042,0.569774032806588,0.7743825277301972,0.9090909090909092,0.6785714285714286,inductive_section5_added_methods_20260529,/data2/fbidet/scRAW_Inductif/results/inductive_section5_added_methods_20260529/01_runs/baron_human_pancreas/h123_to_h4/scvi/human4,/data2/fbidet/scRAW_Inductif/results/inductive_section5_added_methods_20260529/01_runs/baron_human_pancreas/h123_to_h4/scvi/human4/metrics.json,metrics.BalancedACC,0.4626434676434677
bbag094_spleen,BBAG094 spleen,scraw,scRAW,batch,3-F-56,3-M-8,0.9177086362314626,0.8249926310312349,0.894023652669759,0.7833137616878475,0.971153846153846,0.95,scraw_trial0017_exact_used_as_scraw_final,/data2/fbidet/scRAW_Inductif/results/inductive_scraw_trial0017_exact_all_datasets_20260507_145430/01_scraw_runs/bbag094_spleen/scraw/3-M-8,/data2/fbidet/scRAW_Inductif/results/inductive_scraw_trial0017_exact_all_datasets_20260507_145430/01_scraw_runs/bbag094_spleen/scraw/3-M-8/metrics.json,metrics.BalancedACC,0.963095238095238
bbag094_spleen,BBAG094 spleen,scname,scNAME,batch,3-F-56,3-M-8,0.858679848793,0.849461877939,0.669368710262,0.711648667695,0.884615384615,0.6,new_run,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/bbag094_spleen/scname/3-M-8,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/bbag094_spleen/scname/3-M-8/metrics.json,metrics.BalancedACC,0.7761904761904761
bbag094_spleen,BBAG094 spleen,sc_mae,scMAE,batch,3-F-56,3-M-8,0.772317534167,0.71370401094,0.5645200476,0.698926183237,0.807692307692,0.0,new_run,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/bbag094_spleen/sc_mae/3-M-8,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/bbag094_spleen/sc_mae/3-M-8/metrics.json,metrics.BalancedACC,0.5
bbag094_spleen,BBAG094 spleen,scdeepcluster,scDeepCluster,batch,3-F-56,3-M-8,0.597557429485,0.649278145697,0.416966362408,0.589866552086,0.817307692308,0.05,new_run,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/bbag094_spleen/scdeepcluster/3-M-8,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/bbag094_spleen/scdeepcluster/3-M-8/metrics.json,metrics.BalancedACC,0.525
bbag094_spleen,BBAG094 spleen,scaide,scAIDE,batch,3-F-56,3-M-8,0.943297470194824,0.74145980898027,0.9429487906132052,0.864976808462805,0.7980769230769231,0.0,inductive_section5_added_methods_20260529,/data2/fbidet/scRAW_Inductif/results/inductive_section5_added_methods_20260529/01_runs/bbag094_spleen/scaide/3-M-8,/data2/fbidet/scRAW_Inductif/results/inductive_section5_added_methods_20260529/01_runs/bbag094_spleen/scaide/3-M-8/metrics.json,metrics.BalancedACC,0.494047619047619
bbag094_spleen,BBAG094 spleen,scvi,scVI,batch,3-F-56,3-M-8,0.3634777551613841,0.2866263437129278,0.0034684983110352,0.0350663992037492,0.2307692307692307,0.0,inductive_section5_added_methods_20260529,/data2/fbidet/scRAW_Inductif/results/inductive_section5_added_methods_20260529/01_runs/bbag094_spleen/scvi/3-M-8,/data2/fbidet/scRAW_Inductif/results/inductive_section5_added_methods_20260529/01_runs/bbag094_spleen/scvi/3-M-8/metrics.json,metrics.BalancedACC,0.1428571428571428
gse112013_human_testis_raw_counts,Human testis,scraw,scRAW,batch,"Donor1_scRNA-seq_rep1,Donor1_scRNA-seq_rep2,Donor2_scRNA-seq_rep1,Donor2_scRNA-seq_rep2",Donor3_scRNA-seq_rep1,0.6747311827956989,0.7904012378722408,0.5877958776952993,0.8076885375226908,0.8341463414634146,1.0,scraw_trial0017_exact_used_as_scraw_final,/data2/fbidet/scRAW_Inductif/results/inductive_scraw_trial0017_exact_all_datasets_20260507_145430/01_scraw_runs/gse112013_human_testis_raw_counts/scraw/Donor3_scRNA-seq_rep1,/data2/fbidet/scRAW_Inductif/results/inductive_scraw_trial0017_exact_all_datasets_20260507_145430/01_scraw_runs/gse112013_human_testis_raw_counts/scraw/Donor3_scRNA-seq_rep1/metrics.json,metrics.BalancedACC,0.876104797979798
gse112013_human_testis_raw_counts,Human testis,scraw,scRAW,batch,"Donor1_scRNA-seq_rep1,Donor1_scRNA-seq_rep2,Donor2_scRNA-seq_rep1,Donor2_scRNA-seq_rep2",Donor3_scRNA-seq_rep2,0.6625441696113075,0.809282786783454,0.5735863254892055,0.7968438935895165,1.0,1.0,scraw_trial0017_exact_used_as_scraw_final,/data2/fbidet/scRAW_Inductif/results/inductive_scraw_trial0017_exact_all_datasets_20260507_145430/01_scraw_runs/gse112013_human_testis_raw_counts/scraw/Donor3_scRNA-seq_rep2,/data2/fbidet/scRAW_Inductif/results/inductive_scraw_trial0017_exact_all_datasets_20260507_145430/01_scraw_runs/gse112013_human_testis_raw_counts/scraw/Donor3_scRNA-seq_rep2/metrics.json,metrics.BalancedACC,1.0
gse112013_human_testis_raw_counts,Human testis,scname,scNAME,batch,"Donor1_scRNA-seq_rep1,Donor1_scRNA-seq_rep2,Donor2_scRNA-seq_rep1,Donor2_scRNA-seq_rep2",Donor3_scRNA-seq_rep1,0.674731182796,0.72841759987,0.583353829923,0.812658319394,0.863414634146,0.0,new_run,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/gse112013_human_testis_raw_counts/scname/Donor3_scRNA-seq_rep1,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/gse112013_human_testis_raw_counts/scname/Donor3_scRNA-seq_rep1/metrics.json,metrics.BalancedACC,0.7572422595520422
