family,dataset,method,source_method,ARI,ACC,BalancedACC,RareACC,BalancedRareACC,UltraRareACC,Batch correction
Rare Specific + Harmony,BBAG094 Zeisel,scRAW,scRAW (trial_0017),0.4301883295024661,0.6407185628742516,0.5695202861675058,0.6108108108108108,0.3942307692307692,0.5555555555555556,0.4000360971162749
Rare Specific + Harmony,BBAG094 spleen,scRAW,scRAW (trial_0017),0.8700744463231944,0.8291457286432161,0.7309318547414984,0.5285326086956522,0.7420385045572452,0.9761904761904762,0.7909291345199329
Rare Specific + Harmony,Baron human pancreas,scRAW,scRAW (trial_0017),0.9158965181979905,0.9337145524565292,0.8702221194567779,0.8955637707948244,0.837473323530332,0.8135593220338984,0.5749552605057935
Rare Specific + Harmony,Human testis GSE112013,scRAW,scRAW (trial_0017),0.6107002323051303,0.7178736517719568,0.7963247792238903,0.9667013527575442,0.89321124021709,0.6428571428571429,0.7303536766041685
Rare Specific + Harmony,Kang PBMC,scRAW,scRAW (trial_0017),0.5459843343891061,0.7057650028499308,0.5641141790530496,0.678125,0.7142094017094017,0.8173076923076923,0.6843171205513716
Rare Specific + Harmony,Macaque retina bipolar,scRAW,scRAW (trial_0017),0.9244654129213528,0.9366708468087916,0.914858085822702,0.957920792079208,0.9037712136460482,0.6802721088435374,0.6374791031394675
Rare Specific + Harmony,Paul15 bone marrow,scRAW,scRAW (trial_0017),0.2832245907007426,0.4161172161172161,0.3697830604541274,0.1263616557734204,0.2113500597371565,0.0,
Rare Specific + Harmony,Tabula Muris liver,scRAW,scRAW (trial_0017),0.6827909308919632,0.745715285064708,0.5921954950000582,0.3228699551569506,0.4,,
Rare Specific + Harmony,BBAG094 Zeisel,scAIDE+Harmony,scAIDE+Harmony,0.393915387327191,0.6254158349966733,0.5436649345600368,0.6486486486486487,0.4680337519623233,0.5185185185185185,0.3121789146382062
Rare Specific + Harmony,BBAG094 spleen,scAIDE+Harmony,scAIDE+Harmony,0.931266198427431,0.9590661641541038,0.7261670441267367,0.7336956521739131,0.5560344827586207,0.0,0.7559005511238275
Rare Specific + Harmony,Baron human pancreas,scAIDE+Harmony,scAIDE+Harmony,0.9143612126618428,0.8738475901505427,0.7179257346711913,0.6876155268022182,0.6368208904246279,0.7796610169491526,0.5623430109082486
Rare Specific + Harmony,Human testis GSE112013,scAIDE+Harmony,scAIDE+Harmony,0.5986653786856887,0.7046224961479198,0.7819621219714935,0.813735691987513,0.843235547549741,0.9285714285714286,0.7228910718007686
Rare Specific + Harmony,Kang PBMC,scAIDE+Harmony,scAIDE+Harmony,0.8157030864765875,0.8334826154221969,0.6423397184872102,0.440625,0.3413461538461539,0.0576923076923076,0.5725411542624073
Rare Specific + Harmony,Macaque retina bipolar,scAIDE+Harmony,scAIDE+Harmony,0.9736990987683972,0.98448947264207,0.9718315936550428,0.9554455445544554,0.943145384231996,0.8775510204081632,0.5397389851587302
Rare Specific + Harmony,Paul15 bone marrow,scAIDE+Harmony,scAIDE+Harmony,0.3357354846512752,0.4761904761904761,0.466831168147332,0.3790849673202614,0.4331347888535139,0.1935483870967742,
Rare Specific + Harmony,Tabula Muris liver,scAIDE+Harmony,scAIDE+Harmony,0.6465276629240934,0.7198321091290661,0.5513008121603602,0.1345291479820627,0.2,,
Rare Specific + Harmony,BBAG094 Zeisel,scCAD+Harmony,scCAD+Harmony,0.3575497552887321,0.3426480372588157,0.3455751393368246,0.2810810810810811,0.515149136577708,0.5925925925925926,0.2704942051051702
Rare Specific + Harmony,BBAG094 spleen,scCAD+Harmony,scCAD+Harmony,0.4160899891303404,0.5570561139028476,0.4704646659851388,0.264945652173913,0.4922163918040979,1.0,0.7829026829240806
Rare Specific + Harmony,Baron human pancreas,scCAD+Harmony,scCAD+Harmony,0.6049868988016032,0.5372855642432023,0.5220812726378147,0.3493530499075785,0.5553283896291049,0.9152542372881356,0.7289464266236996
Rare Specific + Harmony,Human testis GSE112013,scCAD+Harmony,scCAD+Harmony,0.3990881900976668,0.3151001540832049,0.2940061225369449,0.291363163371488,0.3528222829100292,0.5714285714285714,0.7771422703859471
Rare Specific + Harmony,Kang PBMC,scCAD+Harmony,scCAD+Harmony,0.4276674551464887,0.4081508020519501,0.2626121859521179,0.2203125,0.234241452991453,0.2740384615384615,0.6631010141397811
Rare Specific + Harmony,Macaque retina bipolar,scCAD+Harmony,scCAD+Harmony,0.4250527897674626,0.5600290409873936,0.6417737447095965,0.6497524752475248,0.7121038540967599,0.6666666666666666,0.6692771465073983
Rare Specific + Harmony,Paul15 bone marrow,scCAD+Harmony,scCAD+Harmony,0.2243167105067877,0.2871794871794871,0.3295107178886431,0.2788671023965142,0.4252755748437853,0.6774193548387096,
Rare Specific + Harmony,Tabula Muris liver,scCAD+Harmony,scCAD+Harmony,0.4429350003113112,0.4008394543546694,0.3338720676886075,0.4080717488789238,0.4185416666666667,,
