metric,dataset,scraw_value,best_value,scraw_rank,is_scraw_first
ARI,BBAG094 Zeisel,0.4301883295024661,0.7522691340613057,9,False
ARI,BBAG094 spleen,0.8700744463231944,0.9336405125695943,3,False
ARI,Baron human pancreas,0.9158965181979905,0.9182154796884484,2,False
ARI,Human testis GSE112013,0.6107002323051303,0.668399343098342,7,False
ARI,Kang PBMC,0.5459843343891061,0.8112042439517504,11,False
ARI,Macaque retina bipolar,0.9244654129213528,0.97082643273994,4,False
ARI,Paul15 bone marrow,0.2832245907007426,0.3855814252211918,9,False
ARI,Tabula Muris liver,0.6827909308919632,0.8235452463351149,3,False
