dataset,dataset_key,method,method_display,output_png,output_table,status,source,n_cells,n_weight_matched,weight_min,weight_median,weight_max
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,scMAE,scMAE,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__scmae__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__scmae__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/kang_pbmc_gse96583_singlets_raw_counts/results/labels/labels_sc_mae_run0.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/kang_pbmc_gse96583_singlets_raw_counts/results/embeddings/embeddings_sc_mae_run0.npy,24562.0,24562.0,0.3845422863960266,0.9379430711269379,4.171208381652832
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,Harmony,Harmony,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__harmony__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__harmony__coords_with_stable_generalist_weights.csv,missing_or_failed: 14 cells could not be matched to stable_generalist weights,,,,,,
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,ComBat,ComBat,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__combat__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__combat__coords_with_stable_generalist_weights.csv,missing_or_failed: 14 cells could not be matched to stable_generalist weights,,,,,,
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,Scanorama,Scanorama,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__scanorama__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__scanorama__coords_with_stable_generalist_weights.csv,missing_or_failed: 14 cells could not be matched to stable_generalist weights,,,,,,
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,DESC,DESC,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__desc__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__desc__coords_with_stable_generalist_weights.csv,missing_or_failed: 14 cells could not be matched to stable_generalist weights,,,,,,
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,pca_leiden,PCA + Leiden,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__pca_leiden__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__pca_leiden__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/kang_pbmc_gse96583_singlets_raw_counts/pca_leiden/results/labels/per_cell_pca_leiden_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/kang_pbmc_gse96583_singlets_raw_counts/pca_leiden/results/embeddings/embedding_pca_leiden.npy,24562.0,24562.0,0.3845422863960266,0.9379430711269379,4.171208381652832
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,scvi,scVI,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__scvi__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts__scvi__coords_with_stable_generalist_weights.csv,missing_or_failed: 14 cells could not be matched to stable_generalist weights,,,,,,
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,scRAW (stable_generalist),scRAW,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/macaque_retina_gse118480_bipolar_raw_counts/macaque_retina_gse118480_bipolar_raw_counts__scraw_stable_generalist__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/macaque_retina_gse118480_bipolar_raw_counts/macaque_retina_gse118480_bipolar_raw_counts__scraw_stable_generalist__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/common8_stable_generalist_weight_exports_20260430/macaque_retina_gse118480_bipolar_raw_counts/seed_42/results/per_cell/per_cell_scraw_run0.csv,30302.0,30302.0,0.3845422863960266,0.8776792585849762,3.728229761123657
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,scRAW (best per dataset),scRAW finetune,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/macaque_retina_gse118480_bipolar_raw_counts/macaque_retina_gse118480_bipolar_raw_counts__scraw_finetune__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/macaque_retina_gse118480_bipolar_raw_counts/macaque_retina_gse118480_bipolar_raw_counts__scraw_finetune__coords_with_stable_generalist_weights.csv,missing_or_failed: /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_scibe_rerun_20260402_164112/scraw/best_per_dataset/trial_0062/macaque_retina_gse118480_bipolar_raw_counts/seed_60/results/per_cell/per_cell_scraw_run0.csv,,,,,,
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,scNAME,scNAME,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/macaque_retina_gse118480_bipolar_raw_counts/macaque_retina_gse118480_bipolar_raw_counts__scname__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/macaque_retina_gse118480_bipolar_raw_counts/macaque_retina_gse118480_bipolar_raw_counts__scname__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/macaque_retina_gse118480_bipolar_raw_counts/results/labels/labels_scname_run0.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/macaque_retina_gse118480_bipolar_raw_counts/results/embeddings/embeddings_scname_run0.npy,30302.0,30302.0,0.3845422863960266,0.8776792585849762,3.728229761123657
