dataset,dataset_key,method,method_display,output_png,output_table,status,source,n_cells,n_weight_matched,weight_min,weight_median,weight_max
Paul15 bone marrow,paul15_bone_marrow_raw_counts,scMAE,scMAE,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__scmae__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__scmae__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/paul15_bone_marrow_raw_counts/results/labels/labels_sc_mae_run0.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/paul15_bone_marrow_raw_counts/results/embeddings/embeddings_sc_mae_run0.npy,2730.0,2730.0,0.4832963943481445,0.8946848511695862,3.659777164459229
Paul15 bone marrow,paul15_bone_marrow_raw_counts,Harmony,Harmony,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__harmony__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__harmony__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/harmony/results/labels/per_cell_harmony_res_1.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/harmony/results/embeddings/embedding_harmony.npy,2730.0,2730.0,0.4832963943481445,0.8946848511695862,3.659777164459229
Paul15 bone marrow,paul15_bone_marrow_raw_counts,ComBat,ComBat,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__combat__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__combat__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/combat/results/labels/per_cell_combat_res_1.4.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/combat/results/embeddings/embedding_combat.npy,2730.0,2730.0,0.4832963943481445,0.8946848511695862,3.659777164459229
Paul15 bone marrow,paul15_bone_marrow_raw_counts,Scanorama,Scanorama,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__scanorama__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__scanorama__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/scanorama/results/labels/per_cell_scanorama_res_1.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/scanorama/results/embeddings/embedding_scanorama.npy,2730.0,2730.0,0.4832963943481445,0.8946848511695862,3.659777164459229
Paul15 bone marrow,paul15_bone_marrow_raw_counts,DESC,DESC,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__desc__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__desc__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/desc/results/labels/per_cell_desc_res_1.0.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/desc/results/embeddings/embedding_desc_res_1.0.npy,2730.0,2730.0,0.4832963943481445,0.8946848511695862,3.659777164459229
Paul15 bone marrow,paul15_bone_marrow_raw_counts,pca_leiden,PCA + Leiden,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__pca_leiden__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__pca_leiden__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/pca_leiden/results/labels/per_cell_pca_leiden_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/pca_leiden/results/embeddings/embedding_pca_leiden.npy,2730.0,2730.0,0.4832963943481445,0.8946848511695862,3.659777164459229
Paul15 bone marrow,paul15_bone_marrow_raw_counts,scvi,scVI,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__scvi__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__scvi__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_stable_generalist_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/paul15_bone_marrow_raw_counts/results/labels/per_cell_scvi_res_1.4.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_stable_generalist_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/paul15_bone_marrow_raw_counts/results/embeddings/embedding_scvi.npy,2730.0,2730.0,0.4832963943481445,0.8946848511695862,3.659777164459229
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,scRAW (stable_generalist),scRAW,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scraw_stable_generalist__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scraw_stable_generalist__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/common8_stable_generalist_weight_exports_20260430/Tabula_Muris_liver_filtered_raw_counts/seed_42/results/per_cell/per_cell_scraw_run0.csv,2859.0,2859.0,0.3845422863960266,0.8624414205551147,3.9896435737609854
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,scRAW (best per dataset),scRAW finetune,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scraw_finetune__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scraw_finetune__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_scibe_rerun_20260402_164112/scraw/best_per_dataset/trial_0018/Tabula_Muris_liver_filtered_raw_counts/seed_60/results/per_cell/per_cell_scraw_run0.csv,2859.0,2859.0,0.3845422863960266,0.8624414205551147,3.9896435737609854
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,scNAME,scNAME,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scname__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scname__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/Tabula_Muris_liver_filtered_raw_counts/results/labels/labels_scname_run0.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/Tabula_Muris_liver_filtered_raw_counts/results/embeddings/embeddings_scname_run0.npy,2859.0,2859.0,0.3845422863960266,0.8624414205551147,3.9896435737609854
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,scMAE,scMAE,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scmae__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scmae__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/Tabula_Muris_liver_filtered_raw_counts/results/labels/labels_sc_mae_run0.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/Tabula_Muris_liver_filtered_raw_counts/results/embeddings/embeddings_sc_mae_run0.npy,2859.0,2859.0,0.3845422863960266,0.8624414205551147,3.9896435737609854
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,Harmony,Harmony,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__harmony__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__harmony__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/harmony/results/labels/per_cell_harmony_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/harmony/results/embeddings/embedding_harmony.npy,2859.0,2859.0,0.3845422863960266,0.8624414205551147,3.9896435737609854
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,ComBat,ComBat,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__combat__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__combat__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/combat/results/labels/per_cell_combat_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/combat/results/embeddings/embedding_combat.npy,2859.0,2859.0,0.3845422863960266,0.8624414205551147,3.9896435737609854
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,Scanorama,Scanorama,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scanorama__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scanorama__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/scanorama/results/labels/per_cell_scanorama_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/scanorama/results/embeddings/embedding_scanorama.npy,2859.0,2859.0,0.3845422863960266,0.8624414205551147,3.9896435737609854
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,DESC,DESC,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__desc__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__desc__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/desc/results/labels/per_cell_desc_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/desc/results/embeddings/embedding_desc_res_0.2.npy,2859.0,2859.0,0.3845422863960266,0.8624414205551147,3.9896435737609854
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,pca_leiden,PCA + Leiden,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__pca_leiden__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__pca_leiden__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/pca_leiden/results/labels/per_cell_pca_leiden_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/Tabula_Muris_liver_filtered_raw_counts/pca_leiden/results/embeddings/embedding_pca_leiden.npy,2859.0,2859.0,0.3845422863960266,0.8624414205551147,3.9896435737609854
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,scvi,scVI,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scvi__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scvi__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_stable_generalist_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/Tabula_Muris_liver_filtered_raw_counts/results/labels/per_cell_scvi_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_stable_generalist_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/Tabula_Muris_liver_filtered_raw_counts/results/embeddings/embedding_scvi.npy,2859.0,2859.0,0.3845422863960266,0.8624414205551147,3.9896435737609854
BBAG094 Zeisel,bbag094_zeisel,scRAW (stable_generalist),scRAW,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/bbag094_zeisel/bbag094_zeisel__scraw_stable_generalist__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/bbag094_zeisel/bbag094_zeisel__scraw_stable_generalist__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/common8_stable_generalist_weight_exports_20260430/bbag094_zeisel/seed_42/results/per_cell/per_cell_scraw_run0.csv,3006.0,3006.0,0.3845422863960266,0.8286565542221069,3.0590591430664062
BBAG094 Zeisel,bbag094_zeisel,scRAW (best per dataset),scRAW finetune,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/bbag094_zeisel/bbag094_zeisel__scraw_finetune__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/bbag094_zeisel/bbag094_zeisel__scraw_finetune__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_scibe_rerun_20260402_164112/scraw/best_per_dataset/trial_0011/bbag094_zeisel/seed_60/results/per_cell/per_cell_scraw_run0.csv,3006.0,3006.0,0.3845422863960266,0.8286565542221069,3.0590591430664062
BBAG094 Zeisel,bbag094_zeisel,scNAME,scNAME,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/bbag094_zeisel/bbag094_zeisel__scname__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/bbag094_zeisel/bbag094_zeisel__scname__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/bbag094_zeisel/results/labels/labels_scname_run0.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/bbag094_zeisel/results/embeddings/embeddings_scname_run0.npy,3006.0,3006.0,0.3845422863960266,0.8286565542221069,3.0590591430664062
BBAG094 Zeisel,bbag094_zeisel,scMAE,scMAE,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/bbag094_zeisel/bbag094_zeisel__scmae__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/bbag094_zeisel/bbag094_zeisel__scmae__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/bbag094_zeisel/results/labels/labels_sc_mae_run0.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/bbag094_zeisel/results/embeddings/embeddings_sc_mae_run0.npy,3006.0,3006.0,0.3845422863960266,0.8286565542221069,3.0590591430664062
BBAG094 Zeisel,bbag094_zeisel,Harmony,Harmony,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/bbag094_zeisel/bbag094_zeisel__harmony__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/bbag094_zeisel/bbag094_zeisel__harmony__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/harmony/results/labels/per_cell_harmony_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/harmony/results/embeddings/embedding_harmony.npy,3006.0,3006.0,0.3845422863960266,0.8286565542221069,3.0590591430664062
BBAG094 Zeisel,bbag094_zeisel,ComBat,ComBat,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/bbag094_zeisel/bbag094_zeisel__combat__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/bbag094_zeisel/bbag094_zeisel__combat__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/combat/results/labels/per_cell_combat_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/combat/results/embeddings/embedding_combat.npy,3006.0,3006.0,0.3845422863960266,0.8286565542221069,3.0590591430664062
BBAG094 Zeisel,bbag094_zeisel,Scanorama,Scanorama,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/bbag094_zeisel/bbag094_zeisel__scanorama__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/bbag094_zeisel/bbag094_zeisel__scanorama__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/scanorama/results/labels/per_cell_scanorama_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/scanorama/results/embeddings/embedding_scanorama.npy,3006.0,3006.0,0.3845422863960266,0.8286565542221069,3.0590591430664062
BBAG094 Zeisel,bbag094_zeisel,DESC,DESC,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/bbag094_zeisel/bbag094_zeisel__desc__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/bbag094_zeisel/bbag094_zeisel__desc__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/desc/results/labels/per_cell_desc_res_0.6.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/desc/results/embeddings/embedding_desc_res_0.6.npy,3006.0,3006.0,0.3845422863960266,0.8286565542221069,3.0590591430664062
BBAG094 Zeisel,bbag094_zeisel,pca_leiden,PCA + Leiden,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/bbag094_zeisel/bbag094_zeisel__pca_leiden__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/bbag094_zeisel/bbag094_zeisel__pca_leiden__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/pca_leiden/results/labels/per_cell_pca_leiden_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/bbag094_zeisel/pca_leiden/results/embeddings/embedding_pca_leiden.npy,3006.0,3006.0,0.3845422863960266,0.8286565542221069,3.0590591430664062
BBAG094 Zeisel,bbag094_zeisel,scvi,scVI,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/bbag094_zeisel/bbag094_zeisel__scvi__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/bbag094_zeisel/bbag094_zeisel__scvi__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_stable_generalist_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/bbag094_zeisel/results/labels/per_cell_scvi_res_0.4.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_stable_generalist_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/bbag094_zeisel/results/embeddings/embedding_scvi.npy,3006.0,3006.0,0.3845422863960266,0.8286565542221069,3.0590591430664062
BBAG094 spleen,bbag094_spleen,scRAW (stable_generalist),scRAW,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/bbag094_spleen/bbag094_spleen__scraw_stable_generalist__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/bbag094_spleen/bbag094_spleen__scraw_stable_generalist__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/common8_stable_generalist_weight_exports_20260430/bbag094_spleen/seed_42/results/per_cell/per_cell_scraw_run0.csv,9552.0,9552.0,0.384976714849472,0.7822700142860413,5.334986209869385
BBAG094 spleen,bbag094_spleen,scRAW (best per dataset),scRAW finetune,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/bbag094_spleen/bbag094_spleen__scraw_finetune__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/bbag094_spleen/bbag094_spleen__scraw_finetune__coords_with_stable_generalist_weights.csv,missing_or_failed: /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_scibe_rerun_20260402_164112/scraw/best_per_dataset/trial_0046/bbag094_spleen/seed_60/results/per_cell/per_cell_scraw_run0.csv,,,,,,
BBAG094 spleen,bbag094_spleen,scNAME,scNAME,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/bbag094_spleen/bbag094_spleen__scname__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/bbag094_spleen/bbag094_spleen__scname__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/bbag094_spleen/results/labels/labels_scname_run0.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/bbag094_spleen/results/embeddings/embeddings_scname_run0.npy,9552.0,9552.0,0.384976714849472,0.7822700142860413,5.334986209869385
