dataset,algorithm,variant,metric,mean,std,n
baron_human_pancreas,scMAE,baseline,ARI,0.744576556700678,0.0560443763178067,5
baron_human_pancreas,scMAE,baseline,BalancedRareACC,0.47639994431939314,0.07720278442146708,5
baron_human_pancreas,scMAE,baseline,RareACC,0.6478743068391867,0.0499375209693106,5
baron_human_pancreas,scMAE,baseline,UltraRareACC,0.6949152542372882,0.0247074232832428,5
baron_human_pancreas,scMAE,density_only,ARI,0.7890853924349777,0.0589946604196551,5
baron_human_pancreas,scMAE,density_only,BalancedRareACC,0.5649551552868823,0.08233674286985539,5
baron_human_pancreas,scMAE,density_only,RareACC,0.6255083179297597,0.0437535248440092,5
baron_human_pancreas,scMAE,density_only,UltraRareACC,0.6898305084745763,0.0320468989850661,5
baron_human_pancreas,scMAE,density_only_triplet_kmeans,ARI,0.6269797926261929,0.0209265295813311,5
baron_human_pancreas,scMAE,density_only_triplet_kmeans,BalancedRareACC,0.5122227603576263,0.10089466479006307,5
baron_human_pancreas,scMAE,density_only_triplet_kmeans,RareACC,0.6388170055452865,0.0634464951823991,5
baron_human_pancreas,scMAE,density_only_triplet_kmeans,UltraRareACC,0.5423728813559322,0.0918622177486389,5
baron_human_pancreas,scMAE,full_kmeans,ARI,0.7862835348061491,0.113988444839999,5
baron_human_pancreas,scMAE,full_kmeans,BalancedRareACC,0.5236435879499177,0.058252519339357225,5
baron_human_pancreas,scMAE,full_kmeans,RareACC,0.6083179297597042,0.0788550443489632,5
baron_human_pancreas,scMAE,full_kmeans,UltraRareACC,0.6694915254237288,0.0158544804524319,5
baron_human_pancreas,scMAE,full_kmeans_triplet,ARI,0.6049566903446622,0.0306596734375671,5
baron_human_pancreas,scMAE,full_kmeans_triplet,BalancedRareACC,0.5230736137743908,0.0769685554556628,5
baron_human_pancreas,scMAE,full_kmeans_triplet,RareACC,0.6286506469500924,0.0643123087945145,5
baron_human_pancreas,scMAE,full_kmeans_triplet,UltraRareACC,0.4406779661016949,0.2052352718358022,5
baron_human_pancreas,scMAE,full_leiden,ARI,0.7894982005034222,0.0586553898095195,5
baron_human_pancreas,scMAE,full_leiden,BalancedRareACC,0.5873910644226226,0.05027920160588576,5
baron_human_pancreas,scMAE,full_leiden,RareACC,0.6292051756007394,0.0470278948410839,5
baron_human_pancreas,scMAE,full_leiden,UltraRareACC,0.7033898305084746,0.0452418570001326,5
baron_human_pancreas,scMAE,full_leiden_triplet,ARI,0.5445812571431794,0.0334412291999774,5
baron_human_pancreas,scMAE,full_leiden_triplet,BalancedRareACC,0.4797382408161776,0.04898184259687684,5
baron_human_pancreas,scMAE,full_leiden_triplet,RareACC,0.7419593345656192,0.104622949892686,5
baron_human_pancreas,scMAE,full_leiden_triplet,UltraRareACC,0.5457627118644067,0.0752282746480411,5
bbag094_spleen,DESC,baseline,ARI,0.3577564439677609,0.0208782681444971,5
