phase,dataset,algorithm,variant,seed,metric,value,source_path
full,bbag094_spleen,DESC,baseline,42,RareACC,0.9334239130434784,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/desc/runs/seed_42/results/analysis_results.csv
full,bbag094_spleen,DESC,baseline,43,ARI,0.3907689021265256,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/desc/runs/seed_43/results/analysis_results.csv
full,bbag094_spleen,DESC,baseline,43,RareACC,0.9891304347826086,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/desc/runs/seed_43/results/analysis_results.csv
full,bbag094_spleen,DESC,baseline,44,ARI,0.360676637350751,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/desc/runs/seed_44/results/analysis_results.csv
full,bbag094_spleen,DESC,baseline,44,RareACC,0.9279891304347826,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/desc/runs/seed_44/results/analysis_results.csv
full,bbag094_spleen,DESC,baseline,45,ARI,0.3567170679083912,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/desc/runs/seed_45/results/analysis_results.csv
full,bbag094_spleen,DESC,baseline,45,RareACC,0.9293478260869564,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/desc/runs/seed_45/results/analysis_results.csv
full,bbag094_spleen,DESC,baseline,46,ARI,0.3445174041302577,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/desc/runs/seed_46/results/analysis_results.csv
full,bbag094_spleen,DESC,baseline,46,RareACC,0.9796195652173914,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/desc/runs/seed_46/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only,42,ARI,0.9167650183860686,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only,42,RareACC,0.717391304347826,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only,43,ARI,0.5359749167381073,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only,43,RareACC,0.9646739130434784,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
