phase,dataset,algorithm,variant,metric,mean,std,min,max,n
full,bbag094_spleen,DESC,baseline,ACC,0.5898869346733668,0.058684511898845555,0.501675041876047,0.6435301507537688,5
full,bbag094_spleen,DESC,baseline,ARI,0.3865453470869634,0.049930901895372595,0.3172213973828947,0.4564183670016549,5
full,bbag094_spleen,DESC,baseline,BalancedACC,0.6690579793041904,0.12308153018198427,0.5885097014494353,0.880228142062537,5
full,bbag094_spleen,DESC,baseline,F1_Macro,0.44071306736493476,0.061380145621499814,0.3757731745189926,0.515743917996502,5
full,bbag094_spleen,DESC,baseline,NMI,0.583330609772233,0.020738252120515867,0.5552108815300446,0.6080975233676869,5
full,bbag094_spleen,DESC,baseline,RareACC,0.9331521739130435,0.0331477188738628,0.8967391304347826,0.9864130434782608,5
full,bbag094_spleen,DESC,baseline,Silhouette,0.8410428643226624,0.022599086818551606,0.8154242634773254,0.8684043884277344,5
full,bbag094_spleen,DESC,baseline,runtime,276.6819230556488,56.365630939332576,216.84233498573303,349.52859568595886,5
full,bbag094_spleen,DESC,density_only,ACC,0.6055067001675043,0.06752193615621982,0.4873324958123953,0.6578726968174204,5
full,bbag094_spleen,DESC,density_only,ARI,0.37274280551253935,0.04572979047011286,0.2954698785947137,0.4158634834714647,5
full,bbag094_spleen,DESC,density_only,BalancedACC,0.699445039652502,0.11050258429391459,0.5823364586463381,0.8828685223884772,5
full,bbag094_spleen,DESC,density_only,F1_Macro,0.4279127046663199,0.06586867873850379,0.3115420086291335,0.473531690003624,5
full,bbag094_spleen,DESC,density_only,NMI,0.5750334655907292,0.026772724017988216,0.5280108721526804,0.5923311328157383,5
full,bbag094_spleen,DESC,density_only,RareACC,0.9429347826086957,0.020672722900411618,0.9307065217391304,0.9796195652173914,5
full,bbag094_spleen,DESC,density_only,Silhouette,0.8458193302154541,0.0402233759139186,0.778153121471405,0.8848508596420288,5
full,bbag094_spleen,DESC,density_only,runtime,264.44880690574644,17.833510902596263,236.79359793663025,285.8692789077759,5
full,bbag094_spleen,DESC,density_only_triplet_kmeans,ACC,0.5479899497487437,0.026039717463645827,0.518425460636516,0.588358458961474,5
full,bbag094_spleen,DESC,density_only_triplet_kmeans,ARI,0.35735703172126065,0.04884788575023981,0.2879696567914008,0.4252037849007142,5
full,bbag094_spleen,DESC,density_only_triplet_kmeans,BalancedACC,0.6490892365059474,0.0848436606580875,0.5958765387727161,0.7963242265848095,5
full,bbag094_spleen,DESC,density_only_triplet_kmeans,F1_Macro,0.39804363758895855,0.03394470313029648,0.3732545480244773,0.4570861736375379,5
full,bbag094_spleen,DESC,density_only_triplet_kmeans,NMI,0.5724409345504261,0.0194592052680872,0.5441771422010949,0.5970493140626129,5
full,bbag094_spleen,DESC,density_only_triplet_kmeans,RareACC,0.9410326086956522,0.02242053679613497,0.9279891304347826,0.9809782608695652,5
full,bbag094_spleen,DESC,density_only_triplet_kmeans,Silhouette,0.843142032623291,0.023826585998589552,0.8085072040557861,0.8758509755134583,5
full,bbag094_spleen,DESC,density_only_triplet_kmeans,runtime,278.1699634552002,44.21452247588815,234.24827075004575,341.8471837043762,5
full,bbag094_spleen,DESC,full_kmeans,ACC,0.6060929648241207,0.07059024122876803,0.4930904522613065,0.6617462311557789,5
