phase,dataset,algorithm,variant,seed,metric,value,source_type,source_path,preset,weight_component_mode,pseudo_label_method,triplet_enabled,triplet_pseudo_label_method
smoke,paul15_bone_marrow,DESC,baseline,42,NMI,0.5343086180283043,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/baseline/desc/runs/seed_42/results/analysis_results.csv,stable_Default,full,kmeans,0,kmeans
smoke,paul15_bone_marrow,DESC,baseline,42,ARI,0.2891666483257258,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/baseline/desc/runs/seed_42/results/analysis_results.csv,stable_Default,full,kmeans,0,kmeans
smoke,paul15_bone_marrow,DESC,baseline,42,ACC,0.3626373626373626,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/baseline/desc/runs/seed_42/results/analysis_results.csv,stable_Default,full,kmeans,0,kmeans
smoke,paul15_bone_marrow,DESC,baseline,42,F1_Macro,0.2051227935153836,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/baseline/desc/runs/seed_42/results/analysis_results.csv,stable_Default,full,kmeans,0,kmeans
smoke,paul15_bone_marrow,DESC,baseline,42,BalancedACC,0.2932857238921653,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/baseline/desc/runs/seed_42/results/analysis_results.csv,stable_Default,full,kmeans,0,kmeans
smoke,paul15_bone_marrow,DESC,baseline,42,RareACC,0.130718954248366,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/baseline/desc/runs/seed_42/results/analysis_results.csv,stable_Default,full,kmeans,0,kmeans
smoke,paul15_bone_marrow,DESC,baseline,42,Silhouette,0.143450453877449,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/baseline/desc/runs/seed_42/results/analysis_results.csv,stable_Default,full,kmeans,0,kmeans
smoke,paul15_bone_marrow,DESC,baseline,42,runtime,58.974791526794434,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/baseline/desc/runs/seed_42/results/analysis_results.csv,stable_Default,full,kmeans,0,kmeans
smoke,paul15_bone_marrow,scMAE,density_only,42,NMI,0.6032524729304467,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,scMAE,density_only,42,ARI,0.3609306148336024,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
