phase,dataset,algorithm,variant,seed,metric,variant_value,baseline_value,delta_vs_baseline
smoke,paul15_bone_marrow,DESC,full_kmeans_triplet,42,runtime,74.90895962715149,58.974791526794434,15.934168100357056
smoke,paul15_bone_marrow,scMAE,full_leiden,42,NMI,0.6014658575768888,0.6307063911488362,-0.029240533571947447
smoke,paul15_bone_marrow,scMAE,full_leiden,42,ARI,0.3818124999976128,0.404513623294461,-0.022701123296848202
smoke,paul15_bone_marrow,scMAE,full_leiden,42,ACC,0.4567765567765567,0.4915750915750915,-0.034798534798534786
smoke,paul15_bone_marrow,scMAE,full_leiden,42,F1_Macro,0.3168121108143027,0.4159577230446047,-0.099145612230302
smoke,paul15_bone_marrow,scMAE,full_leiden,42,BalancedACC,0.3959289848465271,0.4930925376121112,-0.09716355276558408
smoke,paul15_bone_marrow,scMAE,full_leiden,42,RareACC,0.2287581699346405,0.355119825708061,-0.1263616557734205
smoke,paul15_bone_marrow,scMAE,full_leiden,42,Silhouette,0.1362511068582534,0.0852846354246139,0.0509664714336395
smoke,paul15_bone_marrow,scMAE,full_leiden,42,runtime,210.76784873008728,11.843692779541016,198.92415595054626
smoke,paul15_bone_marrow,scDeepCluster,full_leiden,42,NMI,0.5572838505158796,0.5287425335672497,0.028541316948629936
smoke,paul15_bone_marrow,scDeepCluster,full_leiden,42,ARI,0.3367272797418521,0.2811568461961214,0.05557043354573071
smoke,paul15_bone_marrow,scDeepCluster,full_leiden,42,ACC,0.4208791208791209,0.4168498168498168,0.0040293040293040705
smoke,paul15_bone_marrow,scDeepCluster,full_leiden,42,F1_Macro,0.371340976423559,0.3691721336151861,0.0021688428083729283
smoke,paul15_bone_marrow,scDeepCluster,full_leiden,42,BalancedACC,0.4210117188951078,0.3996199980006636,0.02139172089444419
smoke,paul15_bone_marrow,scDeepCluster,full_leiden,42,RareACC,0.2984749455337691,0.2875816993464052,0.01089324618736387
smoke,paul15_bone_marrow,scDeepCluster,full_leiden,42,Silhouette,0.3725303745864693,0.2761974042488919,0.09633297033757743
smoke,paul15_bone_marrow,scDeepCluster,full_leiden,42,runtime,409.3182458877564,155.61972784996033,253.69851803779608
smoke,paul15_bone_marrow,DESC,full_leiden,42,NMI,0.5339152363877878,0.5343086180283043,-0.00039338164051649915
smoke,paul15_bone_marrow,DESC,full_leiden,42,ARI,0.2902015482181256,0.2891666483257258,0.0010348998923997987
smoke,paul15_bone_marrow,DESC,full_leiden,42,ACC,0.3652014652014652,0.3626373626373626,0.002564102564102555
