Variant,ARI,NMI,ACC,F1 macro,Bal. ACC,Rare ACC,Ultra-rare ACC,Silhouette,RWS,scIB-E,Clusters,Runtime s
MSE,0.189,0.397,0.407,0.196,0.427,0.350,0.695,-0.173,0.082,0.427,31,70.8
Weighted MSE,0.269,0.455,0.456,0.246,0.520,0.390,0.686,-0.020,0.189,0.426,28,518.2
Weighted + triplet,0.851,0.871,0.885,0.709,0.813,0.809,0.805,0.570,0.613,0.431,15,454.9
Weighted + DANN,0.246,0.560,0.545,0.248,0.611,0.491,0.653,-0.095,0.174,0.574,36,279.7
Full,0.916,0.884,0.934,0.735,0.870,0.896,0.814,0.633,0.599,0.590,16,337.9
Full single update,0.900,0.873,0.913,0.691,0.747,0.793,0.686,0.582,0.587,0.599,13,285.9
Full density only,0.920,0.888,0.926,0.694,0.753,0.796,0.703,0.632,0.650,0.587,13,334.4
Full cluster only,0.723,0.777,0.800,0.538,0.869,0.897,0.949,0.323,0.438,0.596,21,347.2
